id,name,price,description,image,imagetwo,category,offer,newprice,created_at,updated_at
102,BLEACH 14,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
103,BLEACH 15,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
104,BLEACH 16,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
105,BLEACH 17,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
106,BLEACH 18,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
107,BLEACH 19,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
108,BLEACH 20,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
109,BLEACH 21,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
110,BLEACH 22,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
111,BLEACH 23                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
112,BLEACH 24                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
113,BLEACH 25                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
114,BLEACH 26                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
115,BLEACH 27                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
116,BLEACH 28                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
117,BLEACH 29                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
118,BLEACH 30                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
119,BLEACH 31                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
120,BLEACH 32                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
121,BLEACH 33                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
122,BLEACH 34                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
123,BLEACH 35                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
124,BLEACH 36                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
125,BLEACH 37                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
126,BLEACH 38                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
127,BLEACH 39                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
128,BLEACH 40                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
129,BLEACH 41                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
130,BLEACH 42                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
131,BLEACH 43                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
132,BLEACH 44                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
133,BLEACH 45                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
134,BLEACH 46                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
135,BLEACH 47                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
136,BLEACH 48                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
137,BLEACH 49                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
138,BLEACH 50                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
139,BLEACH 51                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
140,BLEACH 52                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
141,BLEACH 53                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
142,BLEACH 54                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
143,BLEACH 55                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
144,BLEACH 56                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
145,BLEACH 57                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
146,BLEACH 58                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
147,BLEACH 59                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
148,BLEACH 60                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
149,BLEACH 61                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
150,BLEACH 62                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
151,BLEACH 63                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
152,BLEACH 64                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
153,BLEACH 65                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
154,BLEACH 66                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
155,BLEACH 67                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
156,BLEACH 68                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
157,BLEACH 69                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
158,BLEACH 70                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
159,BLEACH 71                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
160,BLEACH 72                                                                       ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
161,BLEACH 73,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
162,BLEACH 74,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
163,BLUE EXORCIST 01,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
164,BLUE EXORCIST 02,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
165,BLUE EXORCIST 03,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
166,BLUE EXORCIST 04,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
167,BLUE EXORCIST 05                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
168,BLUE EXORCIST 06                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
169,BLUE EXORCIST 07                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
170,BLUE EXORCIST 08                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
171,BLUE EXORCIST 09                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
172,BLUE EXORCIST 10                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
173,BLUE EXORCIST 11                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
174,BLUE EXORCIST 12                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
175,BLUE EXORCIST 13                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
176,BLUE EXORCIST 14                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
177,BLUE EXORCIST 15                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
178,BLUE EXORCIST 16                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
179,BLUE EXORCIST 17                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
180,BLUE EXORCIST 18                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
181,BLUE EXORCIST 19                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
182,BLUE EXORCIST 20                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
183,BLUE EXORCIST 21                                                                ,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
184,BLUE EXORCIST 22,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
185,BLUE EXORCIST 23,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
186,BLUE SEED,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
187,BTOOOM 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
188,BTOOOM 02                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
189,BTOOOM 03                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
190,BTOOOM 04                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
191,BTOOOM 05                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
192,BTOOOM 06                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
193,BTOOOM 07                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
194,BTOOOM 08                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
195,BTOOOM 09                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
196,BTOOOM 10                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
197,BTOOOM 11                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
198,BTOOOM 12                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
199,BTOOOM 13                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
200,BTOOOM 14                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
201,BTOOOM 15                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
202,BTOOOM 16                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
203,BTOOOM 17                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
204,BTOOOM 18                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
205,BTOOOM 19                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
206,BTOOOM 20                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
207,BTOOOM 21,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
208,BTOOOM 22,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
209,BTOOOM 23,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
210,CARDCAPTOR SAKURA CLEAR CARD ARC 01,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
211,CARDCAPTOR SAKURA CLEAR CARD ARC 02,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
212,CARDCAPTOR SAKURA CLEAR CARD ARC 03,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
213,CARDCAPTOR SAKURA CLEAR CARD ARC 04,495,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
214,CARDCAPTOR SAKURA ED. DELUXE 01                                            ,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
215,CARDCAPTOR SAKURA ED. DELUXE 02,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
216,CARDCAPTOR SAKURA ED. DELUXE 03,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
217,CARDCAPTOR SAKURA ED. DELUXE 04,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
218,CARDCAPTOR SAKURA ED. DELUXE 05,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
219,CARDCAPTOR SAKURA ED. DELUXE 06,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
220,CARDCAPTOR SAKURA ED. DELUXE 07,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
221,CARDCAPTOR SAKURA ED. DELUXE 08,795,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
222,CITRUS 01                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
223,CITRUS 02                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
224,CITRUS 03                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
225,CITRUS 04                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
226,CITRUS 05                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
227,CITRUS 06                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
228,CITRUS 07                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
229,CITRUS 08                                                                       ,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
230,CITRUS 09,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
231,CITRUS 10,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
232,CITRUS PLUS 01,525,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
233,D.GRAY-MAN 01,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
234,D.GRAY-MAN 02,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
235,D.GRAY-MAN 03,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
236,D.GRAY-MAN 04,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
237,D.GRAY-MAN 05,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
238,D.GRAY-MAN 06,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
239,D.GRAY-MAN 07,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
240,D.GRAY-MAN 08,425,,,,comics,,,2020-08-29 00:00:00,2020-08-29 00:00:00
